key,hd,hip,name,alt_names,sptype,teff_k,samples,membership_status,note
HD 38678,38678,27288,zet Lep,zeta Lep,A2IV,,absil2021|ertel2018|ertel2020|mennesson2014,recalled,
HD 39060,39060,27321,bet Pic,beta Pic,A6V,,ertel2014,recalled,H-band excess (Defrere+2012; Ertel+2014)
HD 39587,39587,27913,chi1 Ori,chi01 Ori,G0V,,absil2013|ertel2020,recalled,
HD 40136,40136,28103,eta Lep,,F2V,,absil2021|ertel2018|ertel2020,recalled,
HD 48682,48682,32480,56 Aur,,G0V,,absil2013,recalled,
HD 48737,48737,32362,xi Gem,ksi Gem,F5IV,,ertel2020,recalled,
HD 53705,53705,34065,,,G0V,,absil2021,recalled,
HD 56537,56537,35350,lam Gem,lambda Gem,A3V,,absil2013|nunez2017|ertel2020,recalled,K excess reported (Absil+2013)
HD 69830,69830,40693,,,K0V,,absil2021|mennesson2014,recalled,
HD 71155,71155,41307,30 Mon,,A0V,,ertel2014,recalled,
HD 72673,72673,41926,,,K1V,,absil2021,recalled,
HD 75732,75732,43587,55 Cnc,rho1 Cnc,G8V,,absil2013,recalled,
HD 76151,76151,43726,,,G3V,,ertel2014,recalled,
HD 81937,81937,46733,h UMa,23 UMa,F0IV,,absil2013|ertel2020,recalled,
HD 88955,88955,50191,,,A2V,,ertel2014,recalled,
HD 89449,89449,50564,40 Leo,,F6IV,,ertel2020,recalled,
HD 90132,90132,50954,,,A8V,,ertel2014,recalled,
HD 91324,91324,51523,,,F9V,,ertel2014,recalled,
HD 95418,95418,53910,bet UMa,beta UMa,A1V,,absil2013|nunez2017|ertel2018|ertel2020|mennesson2014,recalled,
HD 97603,97603,54872,del Leo,delta Leo,A4V,,absil2013|ertel2020,recalled,
HD 99211,99211,55705,,,A7V,,ertel2014,recalled,
HD 100623,100623,56452,,,K0V,,absil2021,recalled,
HD 102365,102365,57443,,,G2V,,absil2021,recalled,
HD 102647,102647,57632,bet Leo,beta Leo|Denebola,A3V,,absil2013|nunez2017|ertel2014|mennesson2014|ertel2018|ertel2020|marshall2016|kirchschlager2017,recalled,K excess Akeson+2009; strong HOSTS N-band excess
HD 102870,102870,57757,bet Vir,beta Vir,F9V,,absil2013|ertel2020,recalled,
HD 104731,104731,58803,,,F5V,,ertel2014,recalled,H-band detection reported (Ertel+2014)
HD 106591,106591,59774,del UMa,delta UMa,A3V,,absil2013|ertel2018|ertel2020,recalled,
HD 108767,108767,60965,del Crv,delta Crv,A0IV,,ertel2014,recalled,
HD 109085,109085,61174,eta Crv,,F2V,,absil2013|ertel2014|millangabet2011|mennesson2014|ertel2018|ertel2020,recalled,very strong N-band excess (warm belt); the KIN/LBTI archetype
HD 109787,109787,61622,tau Cen,,A2V,,absil2021,recalled,
HD 115617,115617,64924,61 Vir,,G7V,,ertel2014|absil2021,recalled,
HD 116842,116842,65477,Alcor,80 UMa,A5V,,ertel2018|ertel2020,recalled,
HD 120136,120136,67275,tau Boo,,F6IV,,ertel2014|ertel2020,recalled,
HD 126660,126660,70497,tet Boo,theta Boo,F7V,,absil2013|nunez2017|ertel2018|ertel2020,recalled,
HD 128167,128167,71284,sig Boo,sigma Boo,F3V,,absil2013|ertel2020,recalled,
HD 131156,131156,72659,ksi Boo,xi Boo,G8V,,absil2013|nunez2017|ertel2020,recalled,binary (xi Boo AB at 6 arcsec)
HD 135379,135379,74824,bet Cir,beta Cir,A3V,,ertel2014,recalled,
HD 139006,139006,76267,alf CrB,alpha CrB,A0V,,absil2013|ertel2020,recalled,eclipsing binary
HD 139664,139664,76829,g Lup,,F5IV,,absil2021,recalled,
HD 141004,141004,77257,lam Ser,lambda Ser,G0V,,absil2021|ertel2020,recalled,
HD 141795,141795,77622,eps Ser,epsilon Ser,A2m,,absil2013,recalled,
HD 141891,141891,77952,bet TrA,beta TrA,F1V,,ertel2014,recalled,
HD 142091,142091,77655,kap CrB,kappa CrB,K0IV,,absil2013|nunez2017,recalled,K excess reported (Absil+2013)
HD 142860,142860,78072,gam Ser,gamma Ser,F6V,,absil2013|nunez2017|ertel2018|ertel2020|mennesson2014,recalled,
HD 146233,146233,79672,18 Sco,,G2V,,absil2013,recalled,
HD 149661,149661,81300,12 Oph,,K2V,,ertel2014,recalled,
HD 152391,152391,82588,,,G8V,,ertel2014,recalled,
HD 160032,160032,86486,lam Ara,lambda Ara,F4V,,ertel2014,recalled,
HD 160915,160915,86736,58 Oph,,F6V,,ertel2014,recalled,
HD 161868,161868,87108,gam Oph,gamma Oph,A0V,,absil2013|nunez2017|ertel2020,recalled,
HD 162003,162003,86614,psi1 Dra,psi01 Dra,F5IV,,absil2013|nunez2017,recalled,
HD 164259,164259,88175,zet Ser,zeta Ser,F2IV,,absil2013|nunez2017,recalled,
HD 165777,165777,88771,72 Oph,,A4IV,,ertel2014,recalled,
HD 172167,172167,91262,Vega,alf Lyr|alpha Lyr,A0V,,absil2013|nunez2017|millangabet2011|mennesson2014|ertel2018|ertel2020|kirchschlager2017,recalled,K excess Absil+2006; the archetype
HD 172555,172555,92024,,,A7V,,ertel2014|absil2021|kirchschlager2017,recalled,H-band detection; known warm debris (silica)
HD 173667,173667,92043,110 Her,,F6V,,absil2013|nunez2017|ertel2018|ertel2020,recalled,K excess reported (Absil+2013)
HD 177724,177724,93747,zet Aql,zeta Aql,A0V,,absil2013|nunez2017|ertel2020|kirchschlager2017,recalled,K excess Absil+2008
HD 178253,178253,94114,alf CrA,alpha CrA,A2V,,ertel2014,recalled,
HD 182572,182572,95447,31 Aql,,G8IV,,ertel2014,recalled,
HD 185144,185144,96100,sig Dra,sigma Dra,K0V,,absil2013|nunez2017|ertel2020,recalled,
HD 185395,185395,96441,tet Cyg,theta Cyg,F4V,,absil2013|ertel2020,recalled,
HD 187642,187642,97649,Altair,alf Aql|alpha Aql,A7V,,absil2013|nunez2017|millangabet2011|mennesson2014|ertel2018|ertel2020|marshall2016|kirchschlager2017,recalled,K excess Absil+2013 (rapid rotator; oblateness debated)
HD 188228,188228,98495,eps Pav,epsilon Pav,A0V,,ertel2014,recalled,
HD 191408,191408,99461,,,K2V,,absil2021,recalled,
HD 192425,192425,99742,rho Aql,,A2V,,ertel2014,recalled,
HD 195627,195627,101612,phi1 Pav,phi01 Pav,F0V,,ertel2014,recalled,
HD 197157,197157,102333,eta Ind,,A9IV,,ertel2014,recalled,
HD 197692,197692,102485,psi Cap,,F5V,,ertel2014,recalled,
HD 202730,202730,105319,tet Gru,theta Gru,A5IV,,ertel2014,recalled,
HD 203280,203280,105199,alf Cep,alpha Cep|Alderamin,A8V,,ertel2018|ertel2020,recalled,
HD 203608,203608,105858,gam Pav,gamma Pav,F9V,,ertel2014|absil2021,recalled,
HD 206860,206860,107350,HN Peg,,G0V,,ertel2014,recalled,
HD 207129,207129,107649,,,G2V,,ertel2014,recalled,
HD 209100,209100,108870,eps Ind,epsilon Ind,K5V,,absil2021,recalled,
HD 210027,210027,109176,iot Peg,iota Peg,F5V,,absil2013|nunez2017|ertel2020,recalled,spectroscopic binary
HD 210302,210302,109422,tau PsA,,F6V,,ertel2014,recalled,H-band detection reported (Ertel+2014)
HD 215648,215648,112447,ksi Peg,xi Peg,F7V,,absil2013|ertel2020,recalled,
HD 216435,216435,113044,tau1 Gru,,G0V,,ertel2014,recalled,
HD 216956,216956,113368,Fomalhaut,alf PsA|alpha PsA,A4V,,absil2009|ertel2014|absil2021|mennesson2013|mennesson2014|marshall2016|kirchschlager2017,recalled,K excess Absil+2009 (VINCI); KIN 8-9 um excess Mennesson+2013
HD 219482,219482,114948,,,F6V,,ertel2014,recalled,H-band detection reported (Ertel+2014)
HD 219571,219571,114996,gam Tuc,gamma Tuc,F4V,,ertel2014,recalled,
HD 222368,222368,116771,iot Psc,iota Psc,F7V,,absil2013|absil2021,recalled,
HD 224392,224392,118121,eta Tuc,,A1V,,ertel2014,recalled,
J011351 093551,,,J011351-093551,,,,mennesson2014,archive,
J034402 065300,,,J034402-065300,,,,mennesson2014,archive,
J075103+424211,,,J075103+424211,,,,mennesson2014,archive,
J081039+345730,,,J081039+345730,,,,mennesson2014,archive,
J081809+321912,,,J081809+321912,,,,mennesson2014,archive,
J081855+095848,,,J081855+095848,,,,mennesson2014,archive,
J082340+342753,,,J082340+342753,,,,mennesson2014,archive,
J083941+031817,,,J083941+031817,,,,mennesson2014,archive,
J100412+292121,,,J100412+292121,,,,mennesson2014,archive,
J101347+065015,,,J101347+065015,,,,mennesson2014,archive,
J103018+164633,,,J103018+164633,,,,mennesson2014,archive,
J103048+391234,,,J103048+391234,,,,mennesson2014,archive,
J104057+514505,,,J104057+514505,,,,mennesson2014,archive,
J105830+333859,,,J105830+333859,,,,mennesson2014,archive,
J110236+460101,,,J110236+460101,,,,mennesson2014,archive,
J111957+281354,,,J111957+281354,,,,mennesson2014,archive,
J113608+250322,,,J113608+250322,,,,mennesson2014,archive,
J114713+362702,,,J114713+362702,,,,mennesson2014,archive,
J121058+182119,,,J121058+182119,,,,mennesson2014,archive,
J122000+254230,,,J122000+254230,,,,mennesson2014,archive,
J122027+261903,,,J122027+261903,,,,mennesson2014,archive,
J131453+080456,,,J131453+080456,,,,mennesson2014,archive,
J140248+014634,,,J140248+014634,,,,mennesson2014,archive,
J141831+444937,,,J141831+444937,,,,mennesson2014,archive,
J144144+472003,,,J144144+472003,,,,mennesson2014,archive,
J144213+391856,,,J144213+391856,,,,mennesson2014,archive,
J144335+334859,,,J144335+334859,,,,mennesson2014,archive,
J144542+490248,,,J144542+490248,,,,mennesson2014,archive,
J145243+015430,,,J145243+015430,,,,mennesson2014,archive,
J151352+204057,,,J151352+204057,,,,mennesson2014,archive,
J152436+212309,,,J152436+212309,,,,mennesson2014,archive,
J152652+405126,,,J152652+405126,,,,mennesson2014,archive,
J163950+434003,,,J163950+434003,,,,mennesson2014,archive,
