table_name,description
planck_toi_100,The Planck Public Data Release 2 Time Ordered Information (HFI 100 GHz)
planck_toi_143,The Planck Public Data Release 2 Time Ordered Information (HFI 143 GHz)
planck_toi_217,The Planck Public Data Release 2 Time Ordered Information (HFI 217 GHz)
planck_toi_353,The Planck Public Data Release 2 Time Ordered Information (HFI 353 GHz)
planck_toi_545,The Planck Public Data Release 2 Time Ordered Information (HFI 545 GHz)
planck_toi_857,The Planck Public Data Release 2 Time Ordered Information (HFI 857 GHz)
glimpse3dep2mra,"GLIMPSE 3D Epoch 2 More Reliable Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpse360a,"GLIMPSE360 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpse360c,GLIMPSE360 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
velcara,"Vela-Carina Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
velcarc,Vela-Carina Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
deepglimpsea,"Deep GLIMPSE Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
deepglimpsec,Deep GLIMPSE Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
glimpsepropa,"GLIMPSE Proper Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpsepropc,GLIMPSE Proper Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
apoglimpsea,"APOGLIMPSE Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
apoglimpsec,APOGLIMPSE Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
glimpsesmoga,"SMOG Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpsesmogc,SMOG Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
glimpsecygxa,"GLIMPSE Cygnus-X Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpsecygxc,GLIMPSE Cygnus-X Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
goodsn_mips24,GOODS-N MIPS 24 micron Photometry Catalog
goods_mips24,GOODS-S MIPS 24 micron Photometry Catalog
goodsnirs16,GOODS-N IRS 16 micron Photometry Catalog
goodssirs16,GOODS-S IRS 16 micron Photometry Catalog
m31irac,M31 IRAC Catalog
mipslg,MIPS Local Galaxies Catalog
mipsgala,MIPSGAL Archive
mipsgalc,MIPSGAL Catalog
s4gcat,S4G Catalog
s4getg,S4G Early Type Galaxy Catalog
cs4gcat,CS4G Catalog
safires70,SAFIRES MIPS 70 micron Catalog
safires160,SAFIRES MIPS 160 micron Catalog
sagearciracv2,"SAGE Winter '08 IRAC Epoch 1 and Epoch 2 Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sagecatiracv2,SAGE Winter '08 IRAC Epoch 1 and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_ar_irac,"SAGE IRAC Single Frame + Mosaic Photometry Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sage_cat_irac,SAGE IRAC Single Frame + Mosaic Photometry Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_ar_irac_e1e2,"SAGE IRAC Epoch 1 and Epoch 2 Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sage_cat_irac_e1e2,SAGE IRAC Epoch 1 and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_ar_irac_match,"SAGE IRAC Matched Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sage_cat_irac_match,SAGE IRAC Matched Epoch Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_ar_irac_off,"SAGE IRAC Offset Position Epoch 1 and Epoch 2 Archive (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sage_cat_irac_off,SAGE IRAC Offset Position Epoch 1 and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEIRACv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sagecatmips24v2,SAGE Winter '08 MIPS 24 um Epoch 1 and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_cat_m24,SAGE MIPS 24 um Epoch 1 and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_full_m24,"SAGE MIPS 24 um Epoch 1 and Epoch 2 Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sage_cat_m24_match,SAGE MIPS 24 um Matched Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_full_m24_match,"SAGE MIPS 24 um Matched Epoch Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sage_cat_m70,SAGE MIPS 70 um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_full_m70,"SAGE MIPS 70 um Combined Epoch Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sage_cat_m160,SAGE MIPS 160 um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more reliable</a>)
sage_full_m160,"SAGE MIPS 160 um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sagefull,SAGE-Var LMC Full Catalog
sagevar,SAGE-Var LMC Variable Catalog
sagesmc_iracadr3,SAGE-SMC IRAC Single Frame + Mosaic Photometry Archive v1.5
sagesmc_iraccdr3,SAGE-SMC IRAC Single Frame + Mosaic Photometry Catalog v1.5
sagesmc_iracep1a,SAGE-SMC IRAC Epoch 1 Archive (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_IRAC_colDescriptions.html' target='doc'>less reliable</a>)
sagesmc_iracep1c,SAGE-SMC IRAC Epoch 1 Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_IRAC_colDescriptions.html#reliable' target='doc'>more reliable</a>)
sagesmc_iraca,"SAGE-SMC IRAC Epoch 0, Epoch 1, and Epoch 2 Archive (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_IRAC_colDescriptions.html' target='doc'>less reliable</a>)"
sagesmc_iracc,"SAGE-SMC IRAC Epoch 0, Epoch 1, and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_IRAC_colDescriptions.html#reliable' target='doc'>more reliable</a>)"
sagesmc_mips24ep1c,SAGE-SMC MIPS 24um Epoch 1 Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html#reliable' target='doc'>more reliable</a>)
sagesmc_mips24ep1f,SAGE-SMC MIPS 24um Epoch 1 Full List (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html' target='doc'>less reliable</a>)
sagesmc_mips24f,"SAGE-SMC MIPS 24 um Epoch 0, Epoch 1, and Epoch 2 Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sagesmc_mips24c,"SAGE-SMC MIPS 24 um Epoch 0, Epoch 1, and Epoch 2 Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html#reliable' target='doc'>more reliable</a>)"
sagesmc_mips70f,"SAGE-SMC MIPS 70um Combined Epoch Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
spitzer.sdwfs_epoch2,Spitzer SDWFS Epoch2 Image Metadata
spitzer.sdwfs_epoch3,Spitzer SDWFS Epoch3 Image Metadata
spitzer.sdwfs_epoch4,Spitzer SDWFS Epoch4 Image Metadata
spitzer.sdwfs_images,"Spitzer Deep, Wide-Field Survey (SDWFS) Images"
spitzer.sep_images,Spitzer MIPS 24 and 70 micron Imaging of the South Ecliptic Pole (SEP) Images
spitzer.servs_images,Spitzer Extragalactic Representative Volume Survey (SERVS) Images
spitzer.shela_images,Spitzer/HETDEX Exploratory Large-Area survey (SHELA) Images
spitzer.sings_irs_spec,SINGS IRS Spectra
spitzer.sings_images,SINGS Images
spitzer.sings_mipssed_spec,SINGS MIPSSED Spectra
spitzer.sings_opt_spec,The Spitzer Infrared Nearby Galaxies Survey (SINGS) OPT Spectra
spitzer.simple_images_images,Spitzer IRAC/MUSYC Public Legacy Survey in the Extended Chandra Deep Field South (SIMPLE) Images
spitzer.simple_images_epoch1,Spitzer SIMPLE EPOCH1 Image Metadata
spitzer.simple_images_epoch2,Spitzer SIMPLE EPOCH2 Image Metadata
spitzer.smuvs_images,Spitzer Matching Survey of the Ultra-VISTA Deep Stripes (SMUVS) Images
spitzer.spies_images,Spitzer IRAC Equatorial Survey (SpIES) Images
spitzer.spuds_images,Spitzer Public Legacy Survey of the UKIDSS Ultra Deep Survey (SpUDS) Images
spitzer.ssdf_images,The Spitzer-SPT Deep Field (SSDF) Images
spitzer.ssgss_irs_hires,SSGSS IRS Hires Spectra
spitzer.ssgss_irs_ll,SSGSS IRS LL Spectra
spitzer.ssgss_irs_ll_ab_combined,SSGSS IRS LL AB Combined Spectra
spitzer.ssgss_irs_ll_ab_uncombined,SSGSS IRS LL AB Uncombined Spectra
spitzer.ssgss_irs_lores,SSGSS IRS Lores Spectra
spitzer.ssgss_irs_sh,SSGSS IRS SH Spectra
spitzer.ssgss_irs_sl,SSGSS IRS SL Spectra
spitzer.ssgss_irs_sl_ab_combined,SSGSS IRS SL AB Combined Spectra
spitzer.ssgss_irs_sl_ab_uncombined,SSGSS IRS SL AB Uncombined Spectra
spitzer.ssgss_irs_sl_ll,SSGSS IRS SL LL Spectra
spitzer.swire_images,Spitzer Wide-area InfraRed Extragalactic Survey (SWIRE) Images
spitzer.taurus_irac_ch1,Spitzer Taurus IRAC Ch1 Image Metadata
spitzer.taurus_irac_ch2,Spitzer Taurus IRAC Ch2 Image Metadata
spitzer.taurus_irac_ch3,Spitzer Taurus IRAC Ch3 Image Metadata
spitzer.taurus_irac_ch4,Spitzer Taurus IRAC Ch4 Image Metadata
spitzer.taurus_mips_24,Spitzer Taurus MIPS 24um Image Metadata
spitzer.taurus_mips_70,Spitzer Taurus MIPS 70um Image Metadata
spitzer.taurus_mips_160,Spitzer Taurus MIPS 160um Image Metadata
spitzer.taurus_images,Finishing the Spitzer Map of the Taurus Molecular Clouds (Taurus 2) Images
spitzer.frontier_images,Frontier Fields Images
spitzer.elflock_atlas,ELFLock: The Eureka LBNL Far-Infrared Lockman Hole (ELFLock) Map
spitzer.srelics_images,Spitzer Reionization Lensing Cluster Survey (SRELICS) Images
euclid.tileid_association_q1,Euclid Q1 TILEID to Observation ID Association Table
euclid.objectid_spectrafile_association_q1,Euclid Q1 Object ID to Spectral File Association Table
euclid.observation_euclid_q1,Euclid Q1 CAOM Observation Table
euclid.plane_euclid_q1,Euclid Q1 CAOM Plane Table
euclid.artifact_euclid_q1,Euclid Q1 CAOM Artifact Table
spherex.obscore,IRSA ObsCore table of SPHEREx products
spherex.observation,SPHEREx CAOM Observation Table
spherex.plane,SPHEREx CAOM Plane Table
spherex.artifact,SPHEREx CAOM Artifact Table
spherex.provenance_input,Join tables for SPHEREx calibration files
herschel.acmc_images,ACMC Images
herschel.coldcores_images,Galactic Cold Cores: A Herschel Survey of the Source Populations Revealed by Planck (ColdCores) Images
herschel.digit_pacs_cube,DIGIT PACS Cube
herschel.digit_spire_adv_cube,DIGIT SPIRE Advanced Product Cube
herschel.digit_spire_data,DIGIT SPIRE Data
herschel.digit_pacs_adv_cube,DIGIT PACS Advanced Product CUBE
herschel.digit_pacs_data,DIGIT PACS Data
herschel.digit_spire_adv,DIGIT SPIRE Advanced Product
herschel.digit_spire_fits,DIGIT SPIRE Fits
herschel.digit_pacs_adv,DIGIT PACS Advanced Product
herschel.digit_pacs_fits,DIGIT PACS Fits
herschel.digit_spire_cube,DIGIT SPIRE Cube
herschel.dunes_images,DUNES images
herschel.dunes_mosaic,Herschel DUNES Mosaic Image
herschel.dunes_scan,Herschel DUNES SCAN Image Metadata
allwise_p3am_cdd,AllWISE Atlas Image Inventory Table
allwise_mfpos,AllWISE Refined Pointing Information for the Single-exposure Images
neowiser_p1bs_psd,NEOWISE-R Single Exposure (L1b) Source Table
neowiser_p1ba_mch,NEOWISE-R Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/neowise/expsup/kssopal.README.html' target='doc'> Caution </a>)
neowiser_p1bs_frm,NEOWISE-R Single Exposure (L1b) Frame Metadata Table
neowiser_p1bl_lod,NEOWISE-R Single Exposure (L1b) Scan Inventory Table
neowiser_p1bm_frm,NEOWISE-R Single Exposure (L1b) Image Inventory Table
allsky_4band_p3as_psd,WISE All-Sky Source Catalog
allsky_4band_p1bs_psd,WISE All-Sky Single Exposure (L1b) Source Table
allsky_4band_p1ba_mch,WISE All-Sky Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/allsky/expsup/ssopal.README.html' target='doc'> Caution </a>)
allsky_4band_p3as_psr,WISE All-Sky Reject Table
allsky_4band_p3as_cdd,WISE All-Sky Atlas Metadata Table
allsky_4band_p3am_xrf,WISE All-Sky Frame Cross-Reference Table
allsky_4band_p1bs_frm,WISE All-Sky Single Exposure (L1b) Frame Metadata Table
allsky_4band_p1bl_lod,WISE All-Sky Single Exposure (L1b) Scan Inventory Table
allsky_4band_p3al_lod,WISE All-Sky Atlas Inventory Table
allsky_4band_p1bm_frm,WISE All-Sky Single Exposure (L1b) Image Inventory Table
allsky_4band_p3am_cdd,WISE All-Sky Atlas Image Inventory Table
allsky_3band_p3as_psd,WISE 3-Band Cryo Source Working Database (<a href='http://wise2.ipac.caltech.edu/docs/release/3band/expsup/wise_3band_wdb_README.html' target='doc'>README</a>)
allsky_3band_p1bs_psd,WISE 3-Band Cryo Single Exposure (L1b) Source Table
allsky_3band_p1ba_mch,WISE 3-Band Cryo Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/allsky/expsup/ssopal.README.html' target='doc'> Caution </a>)
allsky_3band_p3as_cdd,WISE 3-Band Cryo Atlas Metadata Table
allsky_3band_p3am_xrf,WISE 3-Band Cryo Frame Cross-Reference Table
allsky_3band_p1bs_frm,WISE 3-Band Cryo Single Exposure (L1b) Frame Metadata Table
allsky_3band_p1bl_lod,WISE 3-Band Cryo Single Exposure (L1b) Scan Inventory Table
allsky_3band_p3al_lod,WISE 3-Band Cryo Atlas Inventory Table
allsky_3band_p1bm_frm,WISE 3-Band Cryo Single Exposure (L1b) Image Inventory Table
allsky_3band_p3am_cdd,WISE 3-Band Cryo Atlas Image Inventory Table
allsky_2band_p1bs_psd,WISE Post-Cryo Single Exposure (L1b) Source Table
allsky_2band_p1bs_frm,WISE Post-Cryo Single Exposure (L1b) Frame Metadata Table
allsky_2band_p1ba_mch,WISE Post-Cryo Single Exposure (L1b) Known SSO Possible Association List (<a href='https://wise2.ipac.caltech.edu/docs/release/allsky/expsup/ssopal.README.html' target='doc'> Caution </a>)
allsky_2band_p1bl_lod,WISE Post-Cryo Single Exposure (L1b) Scan Inventory Table
allsky_2band_p1bm_frm,WISE Post-Cryo Single Exposure (L1b) Image Inventory Table
varwisepure,VarWISE Pure Catalog
varwiseext,VarWISE Extended Catalog
catwise_2020,CatWISE2020 Catalog
catwise_2020_reject,CatWISE2020 Reject Table
catwise_prelim,CatWISE Preliminary Catalog
catwise_prelim_reject,CatWISE Preliminary Reject Table
unwise_2019,unWISE Catalog
neowisesbpropv2,NEOWISE Derived Diameters and Albedos of Solar System Small Bodies Catalog v2
prelim_2band_p1bs_psd,WISE Preliminary Post-Cryo Single Exposure (L1b)  Source Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_2band_p1ba_mch,"WISE Preliminary Post-Cryo Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/prelim/expsup/ssopal.README.html' target='doc'> Caution </a>, <a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)"
prelim_2band_p1bs_frm,WISE Preliminary Post-Cryo Single Exposure (L1b) Frame Metadata Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_2band_p1bl_lod,WISE Preliminary Post-Cryo Single Exposure (L1b) Scan Inventory Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_2band_p1bm_frm,WISE Preliminary Post-Cryo Single Exposure (L1b) Image Inventory Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p3as_psd,WISE Preliminary Release Source Catalog (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p1bs_psd,WISE Preliminary Release Single Exposure (L1b) Source Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p1ba_mch,"WISE Preliminary Release Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/prelim/expsup/ssopal.README.html' target='doc'> Caution </a>, <a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)"
prelim_p3as_cdd,WISE Preliminary Release Atlas Metadata Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p3am_xrf,WISE Preliminary Release Frame Cross-Reference Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p1bs_frm,WISE Preliminary Release Single Exposure (L1b) Frame Metadata Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p1bl_lod,WISE Preliminary Release Single Exposure (L1b) Scan Inventory Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p3al_lod,WISE Preliminary Release Atlas Inventory Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p1bm_frm,WISE Preliminary Release Single Exposure (L1b) Image Inventory Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
prelim_p3am_cdd,WISE Preliminary Release Atlas Image Inventory Table (<a href='/applications/Gator/superseded.html' target='doc'>Superseded</a>)
fp_psc,2MASS All-Sky Point Source Catalog (PSC)
fp_xsc,2MASS All-Sky Extended Source Catalog (XSC)
lga_v2,2MASS Large Galaxy Atlas
fp_scan_dat,2MASS All-Sky Survey Scan Info (<a href='/applications/Gator/GatorAid/irsa/scan.html' target='doc'>README</a>)
fp_coadd_dat,2MASS All-Sky Survey Atlas Image Info
pt_src_rej,2MASS Survey Point Source Reject Table
wsdb_info,2MASS Survey Merged Point Source Information Table
wsdb_link,2MASS Survey Merged Point Source Link Table
ext_src_rej,2MASS Survey Extended Source Reject Table
ewsdbf_info,2MASS Survey Merged Extended Source Information Table
ewsdbf_link,2MASS Survey Merged Extended Source Link Table
pscan_dat,2MASS Survey Scan Info
coadd_dat,2MASS Survey Atlas Image Info
pt_src_6x2,2MASS 6X w/LMC/SMC Point Source Working Database / Catalog (<a href='/applications/Gator/GatorAid/2MASS/6xcat.README.html' target='doc'>README</a>)
sixxf_info,2MASS 6X w/LMC/SMC Merged Point Source Information Table
sixxf_link,2MASS 6X w/LMC/SMC Merged Point Source Link Table
ext_src_6x2,2MASS 6X w/LMC/SMC Extended Source Working Database / Catalog (<a href='/applications/Gator/GatorAid/2MASS/6xcat.README.html' target='doc'>README</a>)
esixxf_info,2MASS 6X w/LMC/SMC Merged Extended Source Information Table
esixxf_link,2MASS 6X w/LMC/SMC Merged Extended Source Link Table
pscan_dat_6x2,2MASS 6X w/LMC/SMC Scan Info
coadd_dat_6x2,2MASS 6X w/LMC/SMC Atlas Image Info
pt_src_c,2MASS Calibration Point Source Working Database
cf_info,2MASS Calibration Merged Point Source Information Table
cf_link,2MASS Calibration Merged Point Source Link Table
ext_src_c,2MASS Calibration Extended Source Working Database
ecf_info,2MASS Calibration Merged Extended Source Information Table
ecf_link,2MASS Calibration Merged Extended Source Link Table
pscan_dat_c,2MASS Calibration Scan Info
coadd_dat_c,2MASS Calibration Atlas Image Info
deepcal_src,2MASS Combined Calibration Field Source Table
pt_src_sc,2MASS LMC/SMC Calibration Point Source Working Database
sagesmc_mips70c,SAGE-SMC MIPS 70um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html#reliable' target='doc'>more reliable</a>)
sagesmc_mips160f,"SAGE-SMC MIPS 160um Combined Epoch Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)"
sagesmc_mips160c,SAGE-SMC MIPS 160um Combined Epoch Catalog (<a href='/data/SPITZER/SAGE-SMC/gator_docs/SAGE-SMC_MIPS_colDescriptions.html#reliable' target='doc'>more reliable</a>)
sagesmcfull,SAGE-Var SMC Full Catalog
sagesmcvar,SAGE-Var SMC Variable Catalog
ssid2,SAGE-Spec ID Search
sass_v3,SASS October 2011 Catalog
scosmos_irac_0407,S-COSMOS IRAC 4-channel Photometry Catalog June 2007 (<a href='/data/COSMOS/gator_docs/scosmos_irac_colDescriptions.html' target='doc'>README</a>)
scosmos_mips_24_go2,S-COSMOS MIPS 24um MAIN Photometry Catalog June 2007 (<a href='/data/COSMOS/gator_docs/scosmos_mips_24_colDescriptions.html#aug_note' target='doc'>Aug 2008: Important Flux-correction Note</a>)
scosmos_mips_24_go2_deep,S-COSMOS MIPS 24um DEEP Photometry Catalog June 2007 (<a href='/data/COSMOS/gator_docs/scosmos_mips_24_colDescriptions.html#aug_note' target='doc'>Aug 2008: Important Flux-correction Note</a>)
scosmos_mips_70_v3,S-COSMOS MIPS 70um Photometry Catalog v3 Jan 2009
scosmos_mips_160_v3,S-COSMOS MIPS 160um Photometry Catalog v3 Jan 2009
sdwfs_ch1_stack,SDWFS Aug'09 DR1.1 IRAC 3.6um-Selected Total Coadd Stack
sdwfs_ch2_stack,SDWFS Aug '09 DR1.1 IRAC 4.5um-Selected Total Coadd Stack
sdwfs_ch3_stack,SDWFS Aug '09 DR1.1 IRAC 5.8um-Selected Total Coadd Stack
sdwfs_ch4_stack,SDWFS Aug '09 DR1.1 IRAC 8.0um-Selected Total Coadd Stack
sdwfs_ch1_epoch1,"SDWFS Aug '09 DR1.1 IRAC 3.6um-Selected 3x30sec Coadd, epoch 1 (Jan '04)"
