list,name,um,kind,half_width_um,src,note
stellar,Pf-epsilon,3.0392,line,0.0,NIST ASD (vacuum),
stellar,Pf9,2.873,line,0.0,NIST ASD (vacuum),
stellar,He I 1.083,1.08332,line,0.0,NIST ASD (vacuum),"chromospheres, Be, YSO; 0.02 um from Nd:YAG at R=40"
stellar,He I 2.058,2.05869,line,0.0,NIST ASD (vacuum),
stellar,He I 0.707,0.70671,line,0.0,NIST ASD (vacuum),
stellar,He I 1.279,1.27885,line,0.0,NIST ASD (vacuum),
stellar,He I 1.701,1.7007,line,0.0,NIST ASD (vacuum),
stellar,He I 0.588,0.58772,line,0.0,NIST ASD (vacuum),
stellar,Mg I 1.503,1.5029,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Mg I 1.504,1.50442,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Mg I 1.575,1.57531,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Mg I 1.711,1.71137,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Mg I 1.183,1.18312,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Mg I 1.488,1.48827,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Si I 1.589,1.58927,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Si I 1.596,1.59684,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Si I 1.203,1.20383,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Si I 1.210,1.21063,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Al I 1.313,1.31266,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Al I 1.672,1.67236,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Al I 1.675,1.67546,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Al I 2.110,2.11048,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Na I 1.138,1.13841,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Na I 1.140,1.14071,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Na I 2.206,2.2068,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Na I 2.209,2.2096,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Ca I 1.978,1.97874,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Ca I 2.261,2.26202,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Ca I 2.263,2.26372,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Ca I 2.266,2.26632,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,K I 0.767,0.7667,line,0.0,NIST ASD (vacuum),
stellar,K I 0.770,0.77011,line,0.0,NIST ASD (vacuum),
stellar,K I 1.169,1.16932,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,K I 1.177,1.17732,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,K I 1.243,1.24354,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,K I 1.252,1.25254,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,K I 1.516,1.51671,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,K I 1.517,1.51721,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Fe I 1.189,1.18893,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Fe I 1.198,1.19793,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Fe I 1.530,1.52992,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Fe I 1.163,1.16332,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Ti I 0.970,0.96977,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Ti I 2.190,2.1906,line,0.0,Rayner+2009 IRTF library (air->vac),
stellar,Ca II 0.850,0.85005,line,0.0,NIST ASD (vacuum),
stellar,Ca II 0.854,0.85446,line,0.0,NIST ASD (vacuum),
stellar,Ca II 0.866,0.86669,line,0.0,NIST ASD (vacuum),
stellar,O I 0.777,0.77763,line,0.0,NIST ASD (vacuum),
stellar,O I 0.845,0.84486,line,0.0,NIST ASD (vacuum),
stellar,O I 1.129,1.12901,line,0.0,NIST ASD (vacuum),Be / YSO / Herbig emission
stellar,Fe II 1.257,1.25702,line,0.0,NIST ASD (vacuum),
stellar,[Fe II] 1.295,1.29462,line,0.0,NIST ASD (vacuum),
stellar,Fe II 1.321,1.32092,line,0.0,NIST ASD (vacuum),
stellar,[Fe II] 1.534,1.53389,line,0.0,NIST ASD (vacuum),
stellar,Fe II 1.644,1.644,line,0.0,NIST ASD (vacuum),
stellar,[Fe II] 1.677,1.67733,line,0.0,NIST ASD (vacuum),
stellar,Fe II 1.687,1.68778,line,0.0,NIST ASD (vacuum),
stellar,Fe II 1.742,1.74188,line,0.0,NIST ASD (vacuum),
stellar,Fe II 1.688,1.68811,line,0.0,NIST ASD (vacuum),
stellar,Fe II 1.749,1.74868,line,0.0,NIST ASD (vacuum),
stellar,[S III] 0.907,0.90714,line,0.0,NIST ASD (vacuum),
stellar,[S III] 0.953,0.95332,line,0.0,NIST ASD (vacuum),
stellar,[C I] 0.985,0.98532,line,0.0,NIST ASD (vacuum),
stellar,[S II] 1.029,1.02901,line,0.0,NIST ASD (vacuum),
stellar,[S II] 1.032,1.03202,line,0.0,NIST ASD (vacuum),
stellar,[S II] 1.034,1.0339,line,0.0,NIST ASD (vacuum),
stellar,[N I] 1.040,1.0401,line,0.0,NIST ASD (vacuum),
stellar,CO 3-0 bandhead,1.5582,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 4-1 bandhead,1.578,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 5-2 bandhead,1.5982,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 6-3 bandhead,1.6189,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 7-4 bandhead,1.6397,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 8-5 bandhead,1.661,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 9-6 bandhead,1.6826,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 2-0 bandhead,2.29353,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 3-1 bandhead,2.32266,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 4-2 bandhead,2.35246,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 5-3 bandhead,2.38295,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO 6-4 bandhead,2.4142,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,CO fundamental,4.67,band,0.25,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,13CO 2-0 bandhead,2.34483,line,0.0,Wallace & Hinkle 1997; Meyer+1998 (vacuum),
stellar,H2 1-0 S(1),2.12183,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 1-0 S(0),2.22329,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 1-0 S(2),2.03376,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 1-0 S(3),1.95756,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 1-0 Q(1),2.40659,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 1-0 Q(3),2.42373,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 2-1 S(1),2.24772,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 1-0 S(7),1.74803,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 1-0 S(9),1.68772,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2 0-0 S(9),4.69461,line,0.0,Black & van Dishoeck 1987 (vacuum),
stellar,H2O 1.4 band,1.4,band,0.08,Rayner+2009 IRTF library (air->vac),
stellar,H2O 1.9 band,1.9,band,0.1,Rayner+2009 IRTF library (air->vac),
stellar,H2O 2.7 band,2.7,band,0.25,Rayner+2009 IRTF library (air->vac),
stellar,CH4 3.3 band,3.3,band,0.15,Rayner+2009 IRTF library (air->vac),
stellar,PAH 3.3,3.29,band,0.04,Tokunaga+1991 (vacuum),
stellar,CN 1.10 band,1.1,band,0.03,Rayner+2009 IRTF library (air->vac),
stellar,VO 1.05 band,1.05,band,0.03,Rayner+2009 IRTF library (air->vac),
stellar,FeH 0.99 band,0.99,band,0.015,Rayner+2009 IRTF library (air->vac),
stellar,TiO 0.85 band,0.85,band,0.02,Rayner+2009 IRTF library (air->vac),
stellar,TiO 0.89 band,0.89,band,0.02,Rayner+2009 IRTF library (air->vac),
stellar,H2O ice 3.05,3.05,band,0.2,Boogert+2015 (band centre),
stellar,CO2 ice 4.27,4.27,band,0.03,Boogert+2015 (band centre),
stellar,CO ice 4.67,4.67,band,0.02,Boogert+2015 (band centre),
stellar,CH3OH ice 3.53,3.53,band,0.04,Boogert+2015 (band centre),
galaxy,Ly-alpha,0.121567,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,N V 1240,0.124081,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,Si IV 1397,0.139761,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,C IV 1549,0.154949,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,He II 1640,0.16404,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,O III] 1666,0.166615,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,C III] 1909,0.190873,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,Mg II 2799,0.279875,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[Ne V] 3426,0.342685,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[O II] 3727,0.372709,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[O II] 3729,0.372988,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[Ne III] 3869,0.386986,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,H-delta,0.410289,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,H-gamma,0.434169,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[O III] 4363,0.436444,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,H-beta,0.486268,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[O III] 4959,0.49603,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[O III] 5007,0.500824,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,He I 5876,0.58773,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[O I] 6300,0.630204,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[N II] 6548,0.654986,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,H-alpha,0.656461,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[N II] 6583,0.658527,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[S II] 6716,0.671829,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[S II] 6731,0.673267,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[Ar III] 7136,0.713771,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[S III] 9069,0.907142,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[S III] 9531,0.953315,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,He I 1.083,1.08332,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,Pa-gamma,1.094114,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[Fe II] 1.257,1.25702,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,Pa-beta,1.282159,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,[Fe II] 1.644,1.644,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,Pa-alpha,1.875613,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,Br-gamma,2.16612,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,H2 1-0 S(1),2.121834,line,0.0,SDSS/DESI vacuum rest wavelengths,
galaxy,PAH 3.3,3.29,line,0.0,SDSS/DESI vacuum rest wavelengths,
industrial,Nd:YAG 1064,1.0644,line,0.0,Koechner 2006 (air 1064.1 nm -> vac),
industrial,Nd:YAG 946,0.94626,line,0.0,Koechner 2006,
industrial,Nd:YAG 1319,1.3191,line,0.0,Koechner 2006,
industrial,Nd:YAG 1338,1.3384,line,0.0,Koechner 2006,
industrial,Yb fibre,1.06,band,0.03,1.03-1.09 um gain band,
industrial,Er fibre C-band,1.548,band,0.0175,1.5305-1.5655 um,
industrial,Er fibre L-band,1.5955,band,0.03,1.5655-1.6255 um,
industrial,InGaAs telecom 1310,1.31,band,0.05,O-band 1.26-1.36 um,
industrial,Tm fibre,1.975,band,0.075,1.90-2.05 um,
industrial,Ho:YAG 2.1,2.1,band,0.02,2.08-2.12 um,
industrial,Ti:sapphire,0.85,band,0.15,0.70-1.00 um,
