table_name,description
"'J/A+A/486/73/table5'","Classified galaxies using the IRAS colour method ( Sabater J., Leon S., Verdes-Montenegro L., Lisenfeld U., Sulentic J., Verley S.)"
"'J/A+A/489/229/table1'","Photometry towards IRAS 19410+2336 ( Martin-Hernandez N.L., Bik A., Puga E., Nuernberger D.E.A., Bronfman L.)"
"'J/A+A/504/853/table7'","Observed line emissions parameters for IRAS18264-1152 ( Herpin F., Marseille M., Wakelam V., Bontemps S., Lis D.C.)"
"'J/A+A/504/853/table8'","Observed line emissions parameters for IRAS05358+3543 ( Herpin F., Marseille M., Wakelam V., Bontemps S., Lis D.C.)"
"'J/A+A/504/853/table9'","Observed line emissions parameters for IRAS18162-2048 ( Herpin F., Marseille M., Wakelam V., Bontemps S., Lis D.C.)"
"'J/A+A/510/A89/table1'","MIPSGAL (Spitzer) and IGA (IRAS) results ( Mottram J.C., Hoare M.G., Lumsden S.L., Oudmaijer R.D., Urquhart J.S., Meade M.R., Moore T.J.T, Stead J.J.)"
"'J/A+A/534/A118/table5'","Predicted emissivities as a function of temperature in the IRAS, Herschel, and Planck photometric bands ( Paradis D, Bernard J.P., Meny C., Gromov V.)"
"'J/A+A/542/A53/table3'","Differential standard magnitudes and colours of IRAS 11472-0800 from Valparaiso University Observatory ( Van Winckel H., Hrivnak B.J., Gorlova N., Gielen C., Lu W.)"
"'J/A+A/542/A53/table6'","Barycentric radial velocity data of IRAS 11472-0800 obtained with the HERMES spectrograph ( Van Winckel H., Hrivnak B.J., Gorlova N., Gielen C., Lu W.)"
"'J/A+A/555/A11/stars'","The DUNES stellar sample: stellar optical data (table2), positions in Herschel (table10), parameters (table4), optical/near-IR photometry (table3a), AKARI + WISE (table3c), and IRAS + MIPS fluxes (table3d) ( Eiroa C., Marshall J.P., Mora A., et al.)"
"'J/A+A/568/A125/r1_co'","HIFI spectrum of the CO(16-15) emission at IRAS4A-R1 ( Santangelo G., Nisini B., Codella C., Lorenzani A., Yildiz U.A., Antoniucci S., Bjerkeli P., Cabrit S., Giannini T., Kristensen L.E., Liseau R., Mottram J.C., Tafalla M., van Dishoeck E.F.)"
"'J/A+A/568/A125/r2_co'","HIFI spectrum of the CO(16-15) emission at IRAS4A-R2 ( Santangelo G., Nisini B., Codella C., Lorenzani A., Yildiz U.A., Antoniucci S., Bjerkeli P., Cabrit S., Giannini T., Kristensen L.E., Liseau R., Mottram J.C., Tafalla M., van Dishoeck E.F.)"
"'J/A+A/582/A121/table8'","2MASS and IRAS flux densities from the literature for the DGS sample ( Remy-Ruyer A., Madden S.C., Galliano F., Lebouteiller V., Baes M., Bendo G.J., Boselli A., Ciesla L., Cormier D., Cooray A., Cortese L., De Looze I., Doublier-Pritchard V., Galametz M., Jones A.P., Karczewski O.L., Lu N., Spinoglio L.)"
"'J/A+A/587/A6/i05113'","Linelist of IRAS 05113+1347 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i05341'","Linelist of IRAS 05341+0852 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i06530'","Linelist of IRAS 06530-0213 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i07134'","Linelist of IRAS 07134+1005 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i07430'","Linelist of IRAS 07430+1115 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i08143b'","Linelist of IRAS 08143-4406 part I ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i08143r'","Linelist of IRAS 08143-4406 part II ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i08281'","Linelist of IRAS 08281-4850 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i13245'","Linelist of IRAS 13245-5036 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i14325'","Linelist of IRAS 14325-6428 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i14429'","Linelist of IRAS 14429-4539 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i17279'","Linelist of IRAS 17279-1119 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i19500'","Linelist of IRAS 19500-1709 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i22223'","Linelist of IRAS 22223+4327 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/587/A6/i22272'","Linelist of IRAS 22272+5435 ( De Smedt K., Van Winckel H., Kamath D., Siess L., Goriely S., Karakas A.I., Manick R.)"
"'J/A+A/591/A149/tableb1'","Clumps or clusters of saturated pixels, crossmatched with IRAS point sources and RMS sources ( Molinari S., Schisano E., Elia D., et al.)"
"'J/A+A/593/A51/tablec7'","DUNES_DB stars with d<=20pc: IRAS 12, 25, 60um and Spitzer/MIPS 24 and 70um fluxes ( Montesinos B., Eiroa C., Krivov A.V., Marshall J.P., Pilbratt G.L., Liseau R., Mora A., Maldonado J., Wolf S., Ertel S., Bayo A., Augereau J.-C., Heras A.M., Fridlund M., Danchi W.C., Solano E., Kirchschlager F., Del Burgo C., Montes D.)"
"'J/A+A/597/A129/i09144'","Original and cleaned RVs for IRAS 09144 ( Manick R., Van Winckel H., Kamath D., Hillen M., Escorza A.)"
"'J/A+A/597/A129/i17038'","Original and cleaned RVs for IRAS 17038 ( Manick R., Van Winckel H., Kamath D., Hillen M., Escorza A.)"
"'J/A+A/609/A37/irasphot'","Ancillary photometry from IRAS SCANPI ( Clark C.J.R., Verstocken S., Bianchi S., Fritz J., Viaene S., Smith M.W.L., Baes M., Casasola V., Cassara L.P., Davies J.I., De Looze I., De Vis P., Evans R., Galametz M., Jones A.P., Lianou S., Madden S., Mosenkov A.V., Xilouris M.)"
"'J/A+A/639/A28/table1'","Catalog of super star clusters in IRAS 17138-1017 ( Lam N.T., Gratadour D., Rouan D., Grosset L.)"
"'J/A+A/663/A133/table3'","Physical parameters for a subset of YSO Candidates in the IRAS 22147+5948 region with at least five photometry points, including one at a wavelength longer than 12um ( Karska A., Koprowski M., Solarz A., Szczerba R., Sewilo M., Siodmiak N., Elia D., Gawronski M., Grzesiak K., Yung B.H.K., Fischer W.J., Kristensen L.E.)"
"'J/A+A/663/A133/tablea2'","Physical Parameters for a Subset of YSO Candidates in the IRAS 22147+5948 region with distances from the Gaia DR3 catalog ( Karska A., Koprowski M., Solarz A., Szczerba R., Sewilo M., Siodmiak N., Elia D., Gawronski M., Grzesiak K., Yung B.H.K., Fischer W.J., Kristensen L.E.)"
"'J/A+A/663/A133/tablec1'","Near- and mid-infrared photometry of YSO candidates in the IRAS 22147+5948 field ( Karska A., Koprowski M., Solarz A., Szczerba R., Sewilo M., Siodmiak N., Elia D., Gawronski M., Grzesiak K., Yung B.H.K., Fischer W.J., Kristensen L.E.)"
"'J/A+A/663/A133/tablec2'","Photometry of YSO candidates in the IRAS 22147+5948 field from mid-infrared to submillimeter wavelengths ( Karska A., Koprowski M., Solarz A., Szczerba R., Sewilo M., Siodmiak N., Elia D., Gawronski M., Grzesiak K., Yung B.H.K., Fischer W.J., Kristensen L.E.)"
"'J/A+A/663/A133/tablec3'","Multi-wavelength photometry of YSO candidates in the IRAS 22147+5948 field with unknown distances ( Karska A., Koprowski M., Solarz A., Szczerba R., Sewilo M., Siodmiak N., Elia D., Gawronski M., Grzesiak K., Yung B.H.K., Fischer W.J., Kristensen L.E.)"
"'J/A+A/663/A28/irasf014'","IRAS F01475-0740 CO(2-1) line profile from APEX ( Salvestrini F., Gruppioni C., Hatziminaoglou E., Pozzi F., Vignali C., Casasola V., Paladino R., Aalto S., Andreani P., Marchesi S., Stanke T.)"
"'J/A+A/663/A28/irasf048'","IRAS F04385-0828 CO(2-1) line profile from APEX ( Salvestrini F., Gruppioni C., Hatziminaoglou E., Pozzi F., Vignali C., Casasola V., Paladino R., Aalto S., Andreani P., Marchesi S., Stanke T.)"
"'J/A+A/663/A28/irasf154'","IRAS F15480-0344 CO(2-1) line profile from APEX ( Salvestrini F., Gruppioni C., Hatziminaoglou E., Pozzi F., Vignali C., Casasola V., Paladino R., Aalto S., Andreani P., Marchesi S., Stanke T.)"
"'J/A+A/674/A64/tablec1'","*Multi-wavelength photometry of YSO candidates in the IRAS field. ( Le N., Karska A., Figueira M., Sewilo M., Mirocha A., Fischer C., Kazmierczak-Barthel M., Klein R., Gawronski M., Koprowski M., Kowalczyk K., Fischer W.J., Menten K.M., Wyrowski F., Koenig C., Kristensen L.E.)"
"'J/A+A/682/A17/fig1'","Time series of the velocity integrated 6.7GHz maser flux density in IRAS 20216+4104 ( Szymczak M., Durjasz M., Goedhart S., Wolak P., Bartkiewicz A., Caratti o Garatti A., Kobak A., Massi F.)"
"'J/A+A/682/A17/fig4'","Light curves of the main maser features in IRAS 20216+4104 taken with the Torun telescope ( Szymczak M., Durjasz M., Goedhart S., Wolak P., Bartkiewicz A., Caratti o Garatti A., Kobak A., Massi F.)"
"'J/A+A/682/A17/figa1'","Dynamic spectrum of the 6.7GHz methanol maser emission of IRAS 20216+4104 ( Szymczak M., Durjasz M., Goedhart S., Wolak P., Bartkiewicz A., Caratti o Garatti A., Kobak A., Massi F.)"
"'J/A+AS/101/153/masers'","H2O Masers and IRAS-PSC sources, and derived  parameters ( Palagi F., Cesaroni R., Comoretto G., Felli M., Natale V.)"
"'J/A+AS/104/315/liste3'","Stars of which the optical and IRAS coordinates are offsetted by >= 30' ( The P.S., de Winter D., Perez M.R.)"
"'J/A+AS/104/529/table4'","Catalogue of IRAS galaxies with F60>=0.6Jy ( Takata T., Yamada T., Saito M., Chamaraux P., Kazes I.)"
"'J/A+AS/107/445/table1'","Best fit model parameters for IRAS 2n and 3n sources ( HASHIMOTO O.)"
"'J/A+AS/107/445/table2'","Best fit model parameters for the IRAS red 1n M stars ( HASHIMOTO O.)"
"'J/A+AS/110/81/table1'","Source IRAS names ( van der Walt D.J., Gaylard M.J., MacLeod G.C.)"
"'J/A+AS/113/51/table1'","Association between IRAS sources and S stars ( Chen P.S., Gao H., Jorissen A.)"
"'J/A+AS/115/285/table3'","IRAS data ( Chan S.J., Henning T., Schreyer K.)"
"'J/A+AS/115/345/table6'","IRAS sources with counterparts at 408 or 1420 MHz ( Leahy D.A., Roger R.S.)"
"'J/A+AS/125/419/table1'","Optically known red supergiants or AGB stars with an IRAS counterpart. ( Loup C., Zijlstra A.A., Waters L.B.F.M., Groenewegen M.A.T.)"
"'J/A+AS/125/419/table3'","Planetary nebulae with an IRAS counterpart ( Loup C., Zijlstra A.A., Waters L.B.F.M., Groenewegen M.A.T.)"
"'J/A+AS/125/419/table4'","IRAS sources from group 1, i.e. the best candidates to be AGB or post-AGB stars, or PNe. ( Loup C., Zijlstra A.A., Waters L.B.F.M., Groenewegen M.A.T.)"
"'J/A+AS/125/419/table5'","IRAS sources from group 2 : IRAS data does not allow to conclude on their nature; they can be anything ( Loup C., Zijlstra A.A., Waters L.B.F.M., Groenewegen M.A.T.)"
"'J/A+AS/125/419/table6'","Foreground stars associated with IRAS sources from groups 1 and 2 ( Loup C., Zijlstra A.A., Waters L.B.F.M., Groenewegen M.A.T.)"
"'J/A+AS/125/419/table7'","IRAS sources associated with hot stars, clusters, HII regions, or galaxies ( Loup C., Zijlstra A.A., Waters L.B.F.M., Groenewegen M.A.T.)"
"'J/A+AS/125/419/table8'","Comparison between IRAS fluxes determinations ( Loup C., Zijlstra A.A., Waters L.B.F.M., Groenewegen M.A.T.)"
"'J/A+AS/126/479/table4'","IRAS sources not detected in the K band ( Garcia-Lario P., Manchado A., Pych W., Pottasch S.R.)"
"'J/A+AS/129/363/table1'","IRAS co-added flux densities for S stars, grouped according to their location in the (k-[12],[25]-[60]) diagram. ( Jorissen A., Knapp G.R.)"
"'J/A+AS/129/363/tablea1'","IRAS flux densities for {chi} Cyg ( Jorissen A., Knapp G.R.)"
"'J/A+AS/129/87/table3'","IRAS PSC galaxies and ROSAT All-Sky Survey II sources separated by less than 100 arcsec. ( Boller T., Bertoldi F., Dennefeld M., Voges W.)"
"'J/A+AS/133/201/table6'","Spectral type of IRAS unidentified sources which have quality-3 flux density data at 12, 25, and 60{mu}m ( Iyengar K.V.K., MacConnell D.J.)"
"'J/A+AS/133/337/table2'","IRAS point sources within 5' from the maser positions ( Zinchenko I., Pirogov L., Toriseva M.)"
"'J/A+AS/141/123/table2'","IRAS galaxies behind the Southern Milky Way ( Kraan-Korteweg R.)"
"'J/A+AS/141/257/table1'","Observing log (IRAS deep survey targets) ( Aussel H., Coia D., Mazzei P., De Zotti G., Franceschini A.)"
"'J/A+AS/70/95/agns'","Active Galactic Nuclei (AGNs): IRAS candidates  (from spectral index [25]/[60]),  Veron-Cetty & Veron AGNs, and extragalactic radio sources ( de Grijp M.H.K., Miley G.K., Lub J.)"
"'J/A+AS/76/317/pn'","Possible new PNe in IRAS PSC (PM 1-NNN) and suspected non-PNe in the selected sample of possible PN (PM 2-NN) ( Preite-Martinez A.)"
"'J/A+AS/80/149/table1'","CO (J=1-0) line parameters and derived distances and luminosities of IRAS sources ( Wouterloot J.G.A., Brand J.)"
"'J/A+AS/98/589/table1'","Line parameters towards IRAS sources observed in H2O ( Wouterloot J.G.A., Brand J., Fiegle K.)"
"'J/A+AS/99/291/table2'","IRAS observations, distances, chemical and spectral types ( Loup C., Forveille T., Omont A., Paul J.F.)"
"'J/AJ/101/1763/table6'","Variable stars identified with IRAS 12 {mu}m sources ( Caldwell J.A.R., Keane M.J., Schechter P.L.)"
"'J/AJ/102/1663/rad_iras'","Radio Properties of Extragalactic IRAS Sources (5.5{deg}.. Dec ..66{deg}) ( Condon J.J., and Broderick J.J.)"
"'J/AJ/110/1993/table1a'","Integrated flux densities of IRAS Bright Galaxies ( Sanders D.B., Egami E., Lipari S., Mirabel I.F., Soifer B.T.)"
"'J/AJ/110/1993/table1b'","Integrated flux densities of IRAS bright Galaxies (5deg<|b|<10deg) ( Sanders D.B., Egami E., Lipari S., Mirabel I.F., Soifer B.T.)"
"'J/AJ/112/62/table3'","IRAS ADDSCAN detections ( Tanner A.M., Bechtold J., Walker C.E., Black J.H., Cutri R.M.)"
"'J/AJ/112/62/table4'","BAL QSO's detected with IRAS ADDSCAN analysis ( Tanner A.M., Bechtold J., Walker C.E., Black J.H., Cutri R.M.)"
"'J/AJ/126/1607/table1'","IRAS Revised Bright Galaxy Sample: Integrated Flux Densities and Luminosities ( Sanders D.B., Mazzarella J.M., Kim D.-C., Surace J.A., Soifer B.T.)"
"'J/AJ/128/1002/table3'","IRAS Counterparts of Type II AGNs ( Zakamska N.L., Strauss M.A., Heckman T.M., Ivezic Z., Krolik J.H.)"
"'J/AJ/131/1942/table1'","2MASS observation of the IRAS 1 Jy sample of Ultra-luminous Infrared Galaxies (ULIRGs) ( Chen P.S., Zhang P.)"
"'J/AJ/132/2243/table4'","IRAS mid-infrared photometry ( Geller M.J., Kenyon S.J., Barton E.J., Jarrett T.H., Kewley L.J.)"
"'J/AJ/153/218/table4'","IRAS Observations of Ap, Am, and HgMn Stars in This Paper ( Chen P.S., Liu J.Y., Shan H.G.)"
"'J/AJ/155/17/table2'","IRAS observation of WR galaxies ( Chen P.S., Yang X.H., Liu J.Y., Shan H.G.)"
"'J/AJ/156/300/table3'","Radial velocities for IRAS 17436+5003 ( Hrivnak B.J., Van de Steene G., Van Winckel H., Lu W., Sperauskas J.)"
"'J/AJ/156/300/table4'","Radial velocities for IRAS 18095+2704 ( Hrivnak B.J., Van de Steene G., Van Winckel H., Lu W., Sperauskas J.)"
"'J/AJ/156/300/table5'","Radial velocities for IRAS 19475+3119 ( Hrivnak B.J., Van de Steene G., Van Winckel H., Lu W., Sperauskas J.)"
"'J/AJ/156/300/table6'","Differential standard BVR_C_ magnitudes for IRAS 17436+5003 from 2013-2015 ( Hrivnak B.J., Van de Steene G., Van Winckel H., Lu W., Sperauskas J.)"
"'J/AJ/156/300/table7'","Differential standard BVR_C_ magnitudes for IRAS 18095+2704 from 2013-2015 ( Hrivnak B.J., Van de Steene G., Van Winckel H., Lu W., Sperauskas J.)"
"'J/AJ/156/300/table8'","Differential standard BVR_C_ magnitudes for IRAS 19475+3119 from 2013-2015 ( Hrivnak B.J., Van de Steene G., Van Winckel H., Lu W., Sperauskas J.)"
"'J/AJ/158/22/table5'","New intrinsic S stars found in this paper according to the IRAS diagram ( Chen P.S., Liu J.Y., Shan H.G.)"
"'J/AJ/158/235/table3'","X-ray PMS members of IRAS 09002-4732 ( Getman K.V., Feigelson E.D., Kuhn M.A., Broos P.S., Garmire G.P.)"
"'J/AJ/99/784/table5'","LPV - IRAS proximity matches ( Hughes S.M.G., Wood P.R.)"
"'J/ApJ/397/520/table1'","*IRAS Sources with S(25)/S(12)>0.8. ( WILKING B.A., THOMAS P.G., LADA C.J., MEYER M.R., YOUNG E.T.)"
"'J/ApJ/397/520/table2'","*IRAS Sources with S(25)/S(12)<0.8. ( WILKING B.A., THOMAS P.G., LADA C.J., MEYER M.R., YOUNG E.T.)"
"'J/ApJ/397/520/table3'","Near-infrared photometry of IRAS sources ( WILKING B.A., THOMAS P.G., LADA C.J., MEYER M.R., YOUNG E.T.)"
"'J/ApJ/500/554/table12'","Photometry of detected IRAS galaxies (table 1) and IRAS galaxies not detected at 140 or 240{mu}m (table 2) ( Odenwald S., Newmark J., Smoot G.)"
"'J/ApJ/500/554/table3'","DIRBE galaxy candidates in IRAS unsurveyed region ( Odenwald S., Newmark J., Smoot G.)"
"'J/ApJ/554/803/catalog'","Catalog of IRAS-NVSS galaxies ( Yun Min S., Reddy Naveen A., Condon J.J.)"
"'J/ApJ/555/932/table7'","Open clusters and young field stars: IRAS PSC and FSC fluxes and new photometry of stars with infrared excess ( Spangler C., Sargent A.I., Silverstone M.D., Becklin E.E., Zuckerman B.)"
"'J/ApJ/604/717/table4'","OMC-3 and IRAS 05327-0457, 350 micron Results ( Houde M., Dowell C.D., Hildebrand R.H., Dotson J.L., Vaillancourt J.E., Phillips T.G., Peng R., Bastien P.)"
"'J/ApJ/619/755/table7'","Galex, IRAS, and Spitzer filter functions ( Dopita M.A., Groves B.A., Fischera J., Sutherland R.S., Tuffs R.J., Popescu C.C., Kewley L.J., Reuland M., Leitherer C.)"
"'J/ApJ/642/972/table1'","Sources in the IRAS 12 S1 core ( Young E.T., Teixeira P.S., Lada C.J., Muzerolle J., Persson S.E., Murphy D.C., Siegler N., Marengo M., Krause O., Mainzer A.K.)"
"'J/ApJ/653/675/table2'","Information on the additional IRAS stars ( Su K.Y.L., Rieke G.H., Stansberry J.A., Bryden G., Stapelfeldt K.R., Trilling D.E., Muzerolle J., Beichman C.A., Moro-Martin A., Hines D.C., Werner M.W.)"
"'J/ApJ/669/435/table2'","IRAS, MSX, and NVSS counterparts for the AMGPS sample ( Pandian J.D., Goldsmith P.F.)"
"'J/ApJ/681/428/sources'","Fluxes, positions, IRAS and  Spitzer MIPS photometry ( Chapin E.L., Ade P.A.R., Bock J.J., et al.)"
"'J/ApJ/681/428/table3'","IRAS PSC counterparts ( Chapin E.L., Ade P.A.R., Bock J.J., et al.)"
"'J/ApJ/683/114/sources'","IRS properties and luminosities of faint  IRAS sources ( Sargsyan L., Mickaelian A., Weedman D., Houck J.)"
"'J/ApJ/700/209/table2'","Line identification, intensities and radial velocities V_r_ in the optical spectrum of IRAS 00470+6429 ( Miroshnichenko A.S., Chentsov E.L., Klochkova V.G., et al.)"
"'J/ApJ/709/884/class'","Spectral classification result for the 3 samples: 1Jy (table 1), IRAS-BGC (table 2) or SW01 (table 3) ( Yuan T.-T., Kewley L.J., Sanders D.B.)"
"'J/ApJ/750/170/table2'","Line Parameters of the 6.035GHz OH Masers in IRAS 18566+0408 (G37.55+0.20) ( Al-Marzouk A.A., Araya E.D., Hofner P., Kurtz S., Linz H., Olmi L.)"
"'J/ApJ/766/116/table3'","Differential standard magnitudes for IRAS 22223+4327 ( Hrivnak B.J., Lu W., Sperauskas J., Van Winckel H., Bohlender D., Zacs L.)"
"'J/ApJ/766/116/table4'","Differential standard magnitudes for IRAS 22272+5435 ( Hrivnak B.J., Lu W., Sperauskas J., Van Winckel H., Bohlender D., Zacs L.)"
"'J/ApJ/766/116/table5'","Radial velocity observations of IRAS 22223+4327 ( Hrivnak B.J., Lu W., Sperauskas J., Van Winckel H., Bohlender D., Zacs L.)"
"'J/ApJ/766/116/table6'","Radial velocity observations of IRAS 22272+5435 ( Hrivnak B.J., Lu W., Sperauskas J., Van Winckel H., Bohlender D., Zacs L.)"
"'J/ApJ/840/21/table1'","The 8 WISE-SDSS-IRAS/AKARI specz dust-obscured galaxies (DOGs) identified in this work ( Toba Y., Nagao T., Wang W.-H., Matsuhara H., Akiyama M., Goto T., Koyama Y., Ohyama Y., Yamamura I.)"
