source_id,priority,channels,n_channels,labels
4787733051398426240,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE"
4867872438154507904,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE;rejected_rise_stellar_coloured"
4926561345188246400,1,cradle,1,CANDIDATE;KILLED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
5054402421143189248,1,cradle,1,CANDIDATE;KILLED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
5295632592220066688,1,cradle,1,CANDIDATE;SURVIVES_WITH_UNTESTED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
5498602919742073088,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE"
5747379623232417792,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE;rejected_optical_not_flat"
5802068055991339904,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE;rejected_rise_stellar_coloured"
6225457312033584384,1,cradle,1,CANDIDATE;SURVIVES_DEEP_VET;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
6371268909112212864,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE"
6383068554366896000,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;NOT_RISING"
124647303913935104,2,baffle;cenotaph,2,
1187117793700269952,2,ossuary;science,2,rejected
1312159689145783040,2,baffle;cenotaph,2,
1777667722361955968,2,baffle;cenotaph,2,
3022685626580347392,2,baffle;baffle_bright,2,
3090355653827393920,2,baffle;cenotaph,2,
4020214256641398016,2,ossuary;xp,2,clean;rejected
4020220956790448000,2,ossuary;xp,2,clean;rejected
4122370534848699904,2,baffle;cenotaph,2,
5649084761181107328,2,baffle;cenotaph,2,
5785583456115519232,2,baffle;cenotaph,2,
6236807089535751552,2,cradle;ignition,2,IMPULSIVE_SHAPE
6782302532082648704,2,baffle;cenotaph,2,
6802821033964530560,2,baffle;cenotaph,2,
513509200003,2,hephlit,1,
98188560293213,2,cradle,1,TESTED
102257652619404,2,cradle,1,TESTED
137359561518672,2,ignition,1,OK
225457208954912,2,cradle,1,TESTED
225457312031789,2,cradle,1,TESTED
263719885697828,2,cradle,1,TESTED
295632695296077,2,cradle,1,TESTED
343452502719324,2,ignition,1,OK
348874495503324,2,ignition,1,OK
366228404213469,2,cradle,1,TESTED
553657122803962,2,ignition,1,OK
554553596144428,2,cradle,1,TESTED
571216300006412,2,dimming,1,
575460054781598,2,ignition,1,OK
578211300037151,2,dimming,1,
578212400006539,2,dimming,1,
597412771015424,2,accel,1,
617203300003422,2,dimming,1,
617203400016322,2,dimming,1,
628213100039567,2,dimming,1,
629216200005110,2,dimming,1,
630211400017185,2,dimming,1,substantial_secular_fader_TOP_CANDIDATE
659120290079717,2,cradle,1,TESTED
659120290097729,2,cradle,1,TESTED
659120294393233,2,cradle,1,TESTED
659120294393364,2,cradle,1,TESTED
659120294393428,2,cradle,1,TESTED
659120294399708,2,cradle,1,TESTED
659120668039781,2,cradle,1,TESTED
659120668067344,2,cradle,1,TESTED
659120672350484,2,cradle,1,TESTED
670212400009648,2,dimming,1,
702132138473557,2,cradle,1,TESTED
702132138475639,2,cradle,1,TESTED
719207400007168,2,dimming,1,
720213200037939,2,dimming,1,
753211100006464,2,dimming,1,
753211100006874,2,dimming,1,
753211100006876,2,dimming,1,
753211100007136,2,dimming,1,
754207200005938,2,dimming,1,
754207200006513,2,dimming,1,
754207200018654,2,dimming,1,
754208100012910,2,dimming,1,
755211200004337,2,dimming,1,
755211200004560,2,dimming,1,
755211200005068,2,dimming,1,
790349904677175,2,ignition,1,OK
790455034169149,2,cradle,1,TESTED
790455412126193,2,cradle,1,TESTED
926561340893725,2,cradle,1,TESTED
961205336226651,2,cradle,1,TESTED
961205336226655,2,cradle,1,TESTED
1095044862283392,2,accel,1,
1152219839809843,2,cradle,1,TESTED
1152219882738074,2,cradle,1,TESTED
1206513766896594,2,cradle,1,TESTED
1566209100002055,2,dimming,1,
1613206400009294,2,dimming,1,
1613209100006189,2,dimming,1,
1613209300007325,2,dimming,1,
1613209300008257,2,dimming,1,
1613210300006721,2,dimming,1,
1614203300008739,2,dimming,1,
1614204400008259,2,dimming,1,
1614212100005708,2,dimming,1,
1614212200006324,2,dimming,1,
1616205300004282,2,dimming,1,
1616205300020727,2,dimming,1,
1616206400004367,2,dimming,1,
1626211100008135,2,dimming,1,
1626212100007497,2,dimming,1,
1664204200007555,2,dimming,1,
1664204400000889,2,dimming,1,
1668204100004417,2,dimming,1,
1672938089564577,2,ignition,1,OK
1673207200005154,2,dimming,1,
1711215300006927,2,dimming,1,
1711215300007056,2,dimming,1,
1711215300007434,2,dimming,1,
1711215300008262,2,dimming,1,
1750213400000730,2,dimming,1,
1753213300009403,2,dimming,1,
1753214300001590,2,dimming,1,
2184179848615424,2,accel,1,
2570387602981504,2,science,1,
2762732445245115,2,cradle,1,TESTED
2762732745883894,2,cradle,1,TESTED
2815362244331336,2,cradle,1,TESTED
3738240750762112,2,cradle,1,
3946981716166566,2,cradle,1,TESTED
5494570800817798,2,ignition,1,OK
5864210907008128,2,accel,1,
6423772189067843,2,cradle,1,TESTED
6728690128068165,2,cradle,1,TESTED
6938328629002904,2,ignition,1,OK
7227068855962516,2,cradle,1,TESTED
7324465427953664,2,ignition,1,IMPULSIVE_SHAPE
7575042639536648,2,cradle,1,TESTED
7588220286366167,2,cradle,1,TESTED
8185314313003392,2,ignition,1,IMPULSIVE_SHAPE
8257881432555131,2,ignition,1,OK
8368696532272768,2,accel,1,
8902354852680556,2,cradle,1,TESTED
9849160628750196,2,ignition,1,OK
10308697599894888,2,ignition,1,OK
11324000656719425,2,ignition,1,OK
11383288294628871,2,ignition,1,OK
14008022951642112,2,accel,1,
18293919276650752,2,accel,1,
18427819177131136,2,accel,1,
22995366821962174,2,ignition,1,OK
25465445213591424,2,accel,1,
27756105891883648,2,accel,1,
27758171771240832,2,accel,1,
29272417982523263,2,ignition,1,OK
31980704443356288,2,accel,1,
33698910078624367,2,ignition,1,OK
34700453829307776,2,accel,1,
35287386880045440,2,accel,1,
37589244536949888,2,ignition,1,IMPULSIVE_SHAPE
38711918925673856,2,science,1,
38715725440675414,2,ignition,1,OK
39904957761693568,2,accel,1,
42371226764576000,2,accel,1,
43195796062676992,2,accel,1,
44700752603357568,2,cradle,1,
46770102206004480,2,accel,1,
47401874715052800,2,accel,1,
48143151710922624,2,accel,1,
49327699395058688,2,accel,1,
49633020413764967,2,ignition,1,OK
49754554721461888,2,accel,1,
49779534251226496,2,accel,1,
50284278808685568,2,ignition,1,NOT_RISING
51511505583827712,2,accel,1,
52850332788827008,2,accel,1,
53119025944191616,2,ignition,1,IMPULSIVE_SHAPE
53278867446391040,2,science,1,
56032663035603456,2,accel,1,
59587929588114816,2,ignition,1,ONE_BAND_ONLY
60077422716606080,2,accel,1,
60092949023220224,2,cradle,1,
60186343087140096,2,ignition,1,NOT_RISING
62221259936636288,2,accel,1,
62427663183474688,2,accel,1,
62454085822242432,2,accel,1,
62692336246626944,2,accel,1,
63405403896722816,2,accel,1,
63548684005497984,2,accel,1,
65178709994715776,2,ossuary,1,surviving
65197088157796736,2,ossuary,1,surviving
65201039527567232,2,cradle,1,
65215749792582528,2,ossuary,1,surviving
65219804241710208,2,ossuary,1,surviving
65248937003450112,2,ossuary,1,surviving
65267151961176576,2,ossuary,1,surviving
65267151961177216,2,ossuary,1,surviving
65276429090503040,2,ossuary,1,surviving
65295430026352512,2,cradle,1,IN_CELL_KILLED
65415139354723584,2,accel,1,
65534779964286464,2,accel,1,
66319040992108544,2,accel,1,
66816295125702144,2,cradle,1,
68301838413085312,2,ossuary,1,surviving
68896914721183232,2,ossuary,1,surviving
69568647606583680,2,accel,1,
70418157780244864,2,accel,1,
71231280986615040,2,ignition,1,NOT_RISING
71769113972140544,2,accel,1,
72462871447574272,2,accel,1,
74168317061367552,2,accel,1,
75245082542420480,2,accel,1,
79526061129736576,2,cradle,1,
80569536319509632,2,accel,1,
82247116185488128,2,accel,1,
83831890398267904,2,ossuary,1,surviving
85547914515974912,2,ignition,1,NOT_RISING
86139490427298688,2,cenotaph,1,
86718039701645824,2,ossuary,1,surviving
86720754121026688,2,science,1,
87103281088223488,2,accel,1,
87568576369868800,2,ossuary,1,surviving
94776562284503680,2,accel,1,
95168336316958848,2,accel,1,
96096805166555904,2,accel,1,
96729471029707008,2,accel,1,
97294345128598656,2,cradle,1,SURVIVES_WITH_UNTESTED
99538482720540544,2,accel,1,
99738696915912704,2,accel,1,
100945440992522368,2,ossuary,1,surviving
101381092410068352,2,cradle,1,
103079494277732096,2,accel,1,
105527415182588288,2,ossuary,1,surviving
107614979742188160,2,accel,1,
108327974377682176,2,ignition,1,IMPULSIVE_SHAPE
108606322618018432,2,accel,1,
108757681561231360,2,ignition,1,IMPULSIVE_SHAPE
109221155776309504,2,ignition,1,NOT_RISING
110969692799824512,2,accel,1,
111033395754668032,2,accel,1,
111112384495905920,2,accel,1,
111284840319993600,2,accel,1,
117899055595252864,2,ignition,1,IMPULSIVE_SHAPE
118054327252408192,2,cradle,1,IN_CELL_KILLED
118211484399469056,2,accel,1,
118546839742137472,2,ignition,1,IMPULSIVE_SHAPE
118559960866557824,2,accel,1,
119590138838120064,2,ignition,1,IMPULSIVE_SHAPE
123912731363708800,2,accel,1,
125098863891906688,2,accel,1,
126534207602128128,2,accel,1,
126982155511174272,2,accel,1,
127430206499377280,2,accel,1,
129589372458618368,2,accel,1,
134898226917718144,2,accel,1,
135880430100586752,2,science,1,
136506125231588480,2,accel,1,
137904326064938624,2,accel,1,
139479582631025920,2,accel,1,
140437051099791104,2,ignition,1,NOT_RISING
141149603354243840,2,accel,1,
141365687452847360,2,science,1,
141783540527372032,2,ignition,1,IMPULSIVE_SHAPE
143458646492464256,2,ignition,1,NOT_RISING
144144535589729536,2,ossuary,1,surviving
144444938485998336,2,ossuary,1,surviving
144456281495664000,2,ossuary,1,surviving
144540252400219648,2,ossuary,1,surviving
144627148178004480,2,ossuary,1,surviving
144647592221986944,2,ossuary,1,surviving
144695803231128832,2,accel,1,
145042076378494336,2,ossuary,1,surviving
145223942473256704,2,accel,1,
145392412568411904,2,ossuary,1,surviving
145395230066967936,2,ossuary,1,surviving
145398528601825536,2,ossuary,1,surviving
145411409206509184,2,ossuary,1,surviving
145479823742604672,2,cradle,1,IN_CELL_KILLED
145731302667763072,2,ossuary,1,surviving
145784835140102016,2,ignition,1,NOT_RISING
145786346968586240,2,ossuary,1,surviving
145875854087261440,2,ossuary,1,surviving
145879427500024192,2,ossuary,1,surviving
145901177214159616,2,ossuary,1,surviving
146091461445932288,2,ossuary,1,surviving
146109191070915840,2,ossuary,1,surviving
146118193322299776,2,ossuary,1,surviving
146140694652785792,2,ossuary,1,surviving
146168903998255744,2,cenotaph,1,
146185465392704256,2,ossuary,1,surviving
146211205133981824,2,ossuary,1,surviving
146219275375403264,2,ossuary,1,surviving
146225842382452096,2,ossuary,1,surviving
146422994263829504,2,science,1,
147940663906992512,2,ignition,1,IMPULSIVE_SHAPE
148009009722512128,2,ignition,1,SCAN_SYSTEMATIC
148866697513209344,2,accel,1,
149218300716922624,2,ossuary,1,surviving
149238779121686016,2,ossuary,1,surviving
149241867199792000,2,ossuary,1,surviving
149305883690658688,2,ossuary,1,surviving
149413287933675904,2,ossuary,1,surviving
149420129818402176,2,ossuary,1,surviving
149421980947538304,2,ossuary,1,surviving
149427895119254016,2,ossuary,1,surviving
149453424404839808,2,ossuary,1,surviving
149648415921346688,2,ossuary,1,surviving
149649652871924608,2,ossuary,1,surviving
149653226284712192,2,ossuary,1,surviving
149662262895819264,2,ossuary,1,surviving
149668653807078016,2,ossuary,1,surviving
149716345123973760,2,ossuary,1,surviving
149731497768476544,2,ossuary,1,surviving
150514246968468736,2,ossuary,1,surviving
151170758487901568,2,ossuary,1,surviving
151226215105603072,2,ossuary,1,surviving
151229376201536000,2,ossuary,1,surviving
151285412638622848,2,ossuary,1,surviving
151295033365442304,2,cenotaph,1,
152032771307904000,2,ossuary,1,surviving
152064450986915072,2,ossuary,1,surviving
152075690917800576,2,ossuary,1,surviving
152102010477288320,2,ossuary,1,surviving
152115754372675840,2,ossuary,1,surviving
152135678724832256,2,ossuary,1,surviving
152306687141762048,2,ossuary,1,surviving
152316965001326080,2,ossuary,1,surviving
152340359686322304,2,ossuary,1,surviving
152344349712764288,2,ossuary,1,surviving
152497250547082880,2,ossuary,1,surviving
152542296164043008,2,accel,1,
157180242369412480,2,accel,1,
157253836632415360,2,accel,1,
157600152732418048,2,accel,1,
160855428704248448,2,accel,1,
161972974898828672,2,accel,1,
162085606121475072,2,accel,1,
162196553715418368,2,accel,1,
162892411434403840,2,accel,1,
163079500209723008,2,accel,1,
163824934735578624,2,accel,1,
164354074705944064,2,accel,1,
164641596995364992,2,accel,1,
166752075205343616,2,accel,1,
166781895161704960,2,science,1,
166815640721776512,2,accel,1,
169050501186223616,2,cenotaph,1,
173992531071697024,2,accel,1,
174447003034456576,2,accel,1,
174697622966890624,2,accel,1,
180756275632559616,2,accel,1,
180895157697554048,2,accel,1,
181026514977733376,2,accel,1,
181201753939615488,2,accel,1,
181301740776843904,2,accel,1,
181669042082684032,2,accel,1,
181683992866366848,2,accel,1,
182352186698665984,2,accel,1,
182945235783477504,2,accel,1,
184687957414817280,2,accel,1,
185209645619754752,2,accel,1,
186800295348584576,2,accel,1,
188515705287913600,2,accel,1,
188852774323600000,2,accel,1,
190660676376564480,2,cenotaph,1,
191258505762367872,2,accel,1,
192262153720422656,2,accel,1,
194672107112035200,2,accel,1,
196137378153562496,2,accel,1,
197400343354809088,2,accel,1,
197466172315187456,2,accel,1,
197611277787632512,2,accel,1,
197757787711943680,2,accel,1,
198711236092216064,2,accel,1,
201029689501318528,2,accel,1,
201164040378347264,2,accel,1,
201329684376496512,2,accel,1,
202741044989679872,2,accel,1,
202902059019345024,2,accel,1,
202903600913131776,2,accel,1,
204135328816545536,2,accel,1,
204641997517510144,2,baffle,1,
204745179809190784,2,accel,1,
205915854754570112,2,accel,1,
206222442403751296,2,accel,1,
206335249722145152,2,cenotaph,1,
206421733182981888,2,accel,1,
206706231812356736,2,accel,1,
207569344145862144,2,accel,1,
208052648227501568,2,accel,1,
209407731883789440,2,accel,1,
210215976008946048,2,accel,1,
210678973483578752,2,accel,1,
210705254386240256,2,accel,1,
211249448220214656,2,cradle,1,
212555045261283200,2,accel,1,
212995026009009408,2,accel,1,
214207340657690112,2,accel,1,
215006548171136128,2,cradle,1,
215547026855567232,2,accel,1,
216332456115572992,2,ignition,1,IMPULSIVE_SHAPE
216565827456753152,2,cradle,1,
216581254979277952,2,cradle,1,
216721167834874880,2,cradle,1,
216829401012198912,2,ignition,1,IMPULSIVE_SHAPE
216874858942910592,2,ignition,1,NOT_RISING
218777529460249984,2,cradle,1,IN_CELL_KILLED
219782414367441664,2,accel,1,
220255685402983680,2,cradle,1,
220536198306175232,2,cradle,1,
222780782573888512,2,ignition,1,NOT_RISING
222912380372111744,2,accel,1,
225263548552746240,2,accel,1,
226767646098139392,2,cenotaph,1,
227115297931616128,2,accel,1,
229086855419762048,2,accel,1,
229860469228128256,2,accel,1,
233167834568417536,2,cenotaph,1,
233422715106004736,2,accel,1,
233946735476122368,2,accel,1,
236951013558718080,2,accel,1,
238308807339546880,2,accel,1,
238665873740226688,2,accel,1,
240939388905935488,2,cenotaph,1,
241880570862229120,2,accel,1,
244166863553873152,2,cenotaph,1,
244963910705034240,2,accel,1,
246052942614287744,2,accel,1,
249514754971248128,2,cenotaph,1,
250383540956590336,2,accel,1,
252415605943069568,2,accel,1,
252530646647681408,2,accel,1,
252767247804350976,2,accel,1,
254397617390152576,2,accel,1,
254535812257823104,2,cenotaph,1,
257453057126954880,2,accel,1,
257514217461843200,2,accel,1,
260635795390485888,2,accel,1,
262825202217485824,2,accel,1,
263628223661844608,2,accel,1,
264946331944714880,2,accel,1,
265128709139206400,2,cenotaph,1,
265685336900834176,2,ignition,1,NOT_RISING
267507025807060864,2,accel,1,
267957172739302656,2,accel,1,
268206036028131968,2,accel,1,
268897942374984320,2,accel,1,
269304899116382976,2,cenotaph,1,
269305002195586816,2,accel,1,
270073350369055488,2,accel,1,
270144715544856192,2,cradle,1,
271644728585919488,2,accel,1,
276314148308598016,2,cenotaph,1,
276543495261390080,2,accel,1,
276585590241609344,2,cenotaph,1,
277092052782077056,2,cenotaph,1,
279025372181467648,2,accel,1,
280057882319360640,2,accel,1,
280287852049035776,2,accel,1,
280452877574632704,2,cenotaph,1,
280736349713288320,2,accel,1,
281287548635450496,2,accel,1,
281397705956268032,2,accel,1,
281846925176524416,2,accel,1,
281959728197672704,2,accel,1,
282948459730856576,2,accel,1,
284121127538480768,2,accel,1,
287087884786612608,2,accel,1,
287395644965876480,2,accel,1,
287715190531912192,2,accel,1,
287750237465685888,2,accel,1,
287819472338306304,2,accel,1,
288861431402204928,2,accel,1,
289360025565581184,2,cradle,1,
289500861838036992,2,accel,1,
289526528562588032,2,accel,1,
291392438449849088,2,accel,1,
293553975230799104,2,cradle,1,
293560984617387264,2,cradle,1,
294332390808824320,2,ignition,1,NOT_RISING
294413312287362816,2,accel,1,
295120126465272576,2,cenotaph,1,
296118070706461440,2,accel,1,
296229396258788608,2,accel,1,
296317765211001472,2,science,1,
305919357875189376,2,ignition,1,IMPULSIVE_SHAPE
306350606950880128,2,science,1,
307088825929755904,2,science,1,
307129301701520640,2,accel,1,
307149707090764800,2,accel,1,
307856422484998400,2,accel,1,
308807534402948352,2,science,1,
310449822522652544,2,cenotaph,1,
310890761045605504,2,accel,1,
311247861806483072,2,accel,1,
311342217942363904,2,accel,1,
311587065438122880,2,accel,1,
311998351506248064,2,accel,1,
313633909412425856,2,ignition,1,NOT_RISING
313817459134835968,2,cradle,1,
314588216786077696,2,accel,1,
315290078865867008,2,accel,1,
319654628928331520,2,ignition,1,NOT_RISING
319724993376174976,2,accel,1,
321522454369874176,2,accel,1,
323768035070965248,2,accel,1,
325382500393182080,2,cradle,1,
326270424752247936,2,cradle,1,
327047637738393216,2,cradle,1,
327667388635096832,2,ignition,1,IMPULSIVE_SHAPE
328612865557041152,2,ignition,1,NOT_RISING
328852589154143360,2,cradle,1,
328948525839809152,2,accel,1,
330204442996680704,2,accel,1,
331172833567980800,2,accel,1,
333589014665927552,2,accel,1,
334227590403093760,2,accel,1,
334959040513838080,2,cradle,1,
335696018245791232,2,accel,1,
336475984306760832,2,accel,1,
336601917043906816,2,accel,1,
336663043018993280,2,cradle,1,
336932900106676352,2,accel,1,
337861609475102592,2,accel,1,
340937944227744640,2,accel,1,
347410116346288128,2,accel,1,
348532408480052224,2,ignition,1,IMPULSIVE_SHAPE
348569306543025920,2,ossuary,1,surviving
348874287876508800,2,accel,1,
352958350800978432,2,accel,1,
353194470924079232,2,accel,1,
355342714782490112,2,accel,1,
355352576027402368,2,accel,1,
355636417531079168,2,cradle,1,IN_CELL_KILLED
355754511950091392,2,accel,1,
356879518503320192,2,accel,1,
358391076411642112,2,accel,1,
358608981575656960,2,cradle,1,
359300303807979136,2,accel,1,
361467544303612544,2,accel,1,
361615669135743488,2,accel,1,
362719815032382592,2,accel,1,
364016895156757760,2,accel,1,
365774709306813824,2,accel,1,
367235852885043200,2,accel,1,
367543681781555072,2,accel,1,
367788018176958336,2,cradle,1,
369246898310562432,2,cradle,1,IN_CELL_KILLED
369259675834685184,2,cradle,1,
370022122725268992,2,ignition,1,NOT_RISING
370046960520651008,2,science,1,stellar_companion
370953615232442368,2,accel,1,
371404410703577728,2,accel,1,
371911079406228224,2,cradle,1,
373103126105217536,2,accel,1,
373871238056016640,2,accel,1,
374587638601225472,2,accel,1,
374770737351234944,2,science,1,
374835608537095936,2,accel,1,
375272389530881792,2,accel,1,
375478449178213376,2,accel,1,
375612104264842880,2,accel,1,
376181238970450176,2,accel,1,
376267520569933440,2,accel,1,
376425506646861184,2,accel,1,
377099228100994816,2,cradle,1,
377791993443491712,2,accel,1,
378060991537777664,2,accel,1,
378303850463868544,2,accel,1,
378617138262332544,2,accel,1,
379364604306848640,2,accel,1,
379790149667277824,2,accel,1,
380389211706232320,2,accel,1,
380799737563004544,2,accel,1,
381263250433507584,2,cradle,1,
381270057965295104,2,cradle,1,IN_CELL_KILLED
381494049092365184,2,accel,1,
382381625557896320,2,cradle,1,
382548137145406336,2,accel,1,
383124830995880704,2,accel,1,
383932765883428736,2,accel,1,
384460119148177792,2,accel,1,
384516984515191936,2,accel,1,
384681224065088640,2,accel,1,
386118491921090432,2,accel,1,
388083284837783168,2,accel,1,
388401181138901632,2,accel,1,
388813360561394304,2,accel,1,
389294671776774400,2,accel,1,
390444589142062208,2,accel,1,
390766191993582592,2,accel,1,
391878867698721792,2,accel,1,
392083170703016192,2,accel,1,
392300113793822720,2,accel,1,
392362893333704960,2,accel,1,
392384917926605696,2,accel,1,
392557369453923584,2,accel,1,
392617980031721728,2,accel,1,
393007344585952000,2,accel,1,
393402168042066688,2,accel,1,
394508177959570304,2,accel,1,
394582291914444672,2,accel,1,
395184515055073280,2,accel,1,
395753508018683648,2,accel,1,
396279594274966400,2,accel,1,
399469655458597632,2,accel,1,
400368368775409792,2,cenotaph,1,
401450837972947200,2,cradle,1,
401624148492986880,2,accel,1,
403348010927295616,2,accel,1,
403379892466534656,2,accel,1,
404779398970559360,2,accel,1,
405084650886316160,2,science,1,background_blend
405166843679641216,2,accel,1,
405240133003119104,2,accel,1,
405277069721173888,2,accel,1,
405568268500606080,2,accel,1,
405668220979449088,2,accel,1,
406141732534681216,2,cradle,1,
406372556960103680,2,accel,1,
406901598148563584,2,accel,1,
408011894438958208,2,accel,1,
408596770203265664,2,accel,1,
408676622234795392,2,accel,1,
409293585696641920,2,accel,1,
409985964484598912,2,accel,1,
409998647526479104,2,accel,1,
411281262202890240,2,accel,1,
411508414434794112,2,accel,1,
411734948192782336,2,accel,1,
411951586342172544,2,accel,1,
411999170277130112,2,accel,1,
412657438445379072,2,accel,1,
412753405196644352,2,accel,1,
414824197903787392,2,accel,1,
414999913605585920,2,accel,1,
415556399629681920,2,accel,1,
415620450479881472,2,cenotaph,1,
415735624324946816,2,accel,1,
416257273872637440,2,accel,1,
418470693860657664,2,accel,1,
418649020898787840,2,accel,1,
418757185362278784,2,accel,1,
420400164968904832,2,accel,1,
420844676905062272,2,accel,1,
420857939764039424,2,accel,1,
